i-6c8afca1 m4.4xlarge 10.137.160.21
i-1e6b00ba c3.xlarge 10.137.160.12
i-04c5c0087fced5d44 c4.4xlarge 10.137.32.47
i-a1c89d2f t2.nano 10.137.35.11
i-70386efe m4.large 10.137.34.12
i-0372573893b85f8c6 m4.large 10.137.35.232
i-3557ccf9 m3.large 10.137.34.138
i-f6d56478 t2.micro 10.137.66.78
i-0f139fb7f1e57bec5 m4.large 10.137.32.132
i-efd74b23 m4.4xlarge 10.137.32.21
i-e21ba92e m3.large 10.137.0.21
i-f6cde33a m3.xlarge 10.137.32.60
i-7980b0b5 c3.2xlarge 10.137.34.180
i-2aaa1aa4 t2.micro 10.137.67.231
i-5aadcbd4 m4.large 10.137.34.235
i-1e91ff90 t2.micro 10.137.35.5
i-bf5ec931 m3.xlarge 10.137.32.201
i-3dd70bf2 c3.xlarge 10.137.35.109
i-07f1260a2b5834847 m4.large 10.137.37.39
i-00a38ee2a34f345d3 c4.4xlarge 10.137.32.48
i-512604df t1.micro 10.137.35.242
i-052114c9ab18411c9 t2.micro 10.137.34.230
i-0299f3a6 c3.xlarge 10.137.160.62
i-0df08454177372a39 c4.4xlarge 10.137.32.46
i-43053b8f c3.xlarge 10.137.34.119
i-08bf256cdb1450b65 m4.2xlarge 10.137.32.51
i-0daa502d4e8e7fc4b m4.4xlarge 10.137.160.67
i-0d00b0dd4c45a4f51 m4.2xlarge 10.137.160.51
i-cc7ced68 m4.2xlarge 10.137.160.31
i-0bb65979413cfdaa1 c4.4xlarge 10.137.32.44
i-7dacc6d9 c3.xlarge 10.137.160.13
i-09e5245fd80b32e14 m3.xlarge 10.137.160.178
i-59fe6595 m3.large 10.137.35.36
i-93caba1d m4.2xlarge 10.137.32.31
i-0cb06b5d3ca0d289e c4.4xlarge 10.137.32.41
i-3666eab8 t2.micro 10.137.35.9
i-e845a027 c3.large 10.137.66.39
i-a63ded69 c3.xlarge 10.137.35.103
i-fdec9673 t2.micro 10.137.35.240
i-4b0050c5 m4.large 10.137.35.223
i-0aa2c7a9bdea6a126 t2.micro 10.137.33.119
i-2719fca6 t2.micro 10.137.34.117
i-0c9abcfa6d77ef0ee c4.4xlarge 10.137.32.43
i-e58ca36b c4.xlarge 10.137.34.253
i-03ccc0d8093140447 c4.4xlarge 10.137.32.45
i-14e5d9d8 c3.xlarge 10.137.34.170
i-0bfd1081c1babbc3d c4.4xlarge 10.137.32.42
i-cde7e301 c3.xlarge 10.137.34.90
